"protein"	"m_diff"	"pval"	"adjpval"	"drug"
"GALNS"	0.430805796544308	0.00402020786203941	0.262121006143741	"Abexinostat"
"CAT"	0.754057966990945	0.00403667678883704	0.262121006143741	"Abexinostat"
"PLIN3"	0.306252788134418	0.00407686504114631	0.262121006143741	"Abexinostat"
"CTBP1"	0.157475001244081	0.00408545674101053	0.262121006143741	"Abexinostat"
"CC2D1B"	0.340613605165372	0.00410550440071818	0.262121006143741	"Abexinostat"
"PTPN6"	1.16449469494804	0.00415978209791696	0.262121006143741	"Abexinostat"
"KHDRBS3"	1.97964234079374	0.00422178641832384	0.26234462441462	"Abexinostat"
"MPP7"	1.59136138857676	0.00425304193243942	0.26234462441462	"Abexinostat"
"LACTB2"	1.12127087136809	0.00429110195815126	0.26234462441462	"Abexinostat"
"ZFP3"	0.928435282934654	0.00436314895742357	0.26234462441462	"Abexinostat"
"RNF167"	0.639294871649192	0.00438238580680577	0.26234462441462	"Abexinostat"
"ARL4C"	1.42226439420737	0.00451829290011378	0.26234462441462	"Abexinostat"
"GPX1"	1.12031366917883	0.00453142437845695	0.26234462441462	"Abexinostat"
"JARID2"	0.881792757206642	0.00453687770306084	0.26234462441462	"Abexinostat"
"SLC12A6"	0.630292842254345	0.00460947943889495	0.26234462441462	"Abexinostat"
"SEC22B"	0.24403963439511	0.00463336795313074	0.26234462441462	"Abexinostat"
"SH3BP5L"	0.649676397862044	0.00466442921152574	0.26234462441462	"Abexinostat"
"CD96"	1.06495962076465	0.00469799303060468	0.26234462441462	"Abexinostat"
"CCHCR1"	0.311779043864072	0.00471424526646575	0.26234462441462	"Abexinostat"
"RAB3GAP2"	0.299336861865868	0.00478847238529102	0.26234462441462	"Abexinostat"
"ACOX1"	0.452501888774522	0.00481924743875857	0.26234462441462	"Abexinostat"
"ZNF646"	0.418599878581064	0.00489538669964908	0.263415807917072	"Abexinostat"
"OGA"	0.463894236824161	0.00495285078689483	0.265019021435076	"Abexinostat"
"CENPN"	0.2619533213542	0.00517362552078808	0.269309702381023	"Abexinostat"
"LYST"	0.747307628269698	0.00529156243239477	0.27006000917998	"Abexinostat"
